4625-4625-4624-4672-4720-4728-4668-4905-4722-4907-4634,45
4625-4625-4624-4672-4740-4759-4761-4698-4689-4912-4634,23
4625-4625-4624-4672-4672-5025-4688-4660-4694-4719-4634,15
4625-4625-4624-4964-4767-4760-4758-4757-4753-4750-4743-4740,34
4625-4625-4624-5025-5034-4950-4949,220
4625-4625-4624-4649-4912-4618,108
4625-4625-4624-4907-4660-4670-4691,427
4625-4625-4624-4672-4720-4728-4668-4905-4722-4907-4634,19
4625-4625-4624-4672-4740-4759-4761-4698-4689-4912-4634,62
4625-4625-4624-4672-4672-5025-4688-4660-4694-4719-4634,78
4625-4625-4624-106,2430
4625-4625-4624-2004,431
4625-4625-4624-2005,235
4625-4625-4624-2006,116
